2026-04-28 20:35:04 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-28 20:35:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-28 20:35:04 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@12f51a65
2026-04-28 20:35:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-28 20:35:05 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-28 20:35:05 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-28 20:35:06 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-28 20:35:06 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-28 20:35:07 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-28 20:35:07 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-04-28 20:35:07 [main] INFO  c.gallery.catalog.CatalogApplication - Started CatalogApplication in 5.833 seconds (process running for 6.377)
2026-04-28 20:35:13 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-28 20:35:13 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-28 20:35:13 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-28 20:35:13 [http-nio-8080-exec-1] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/index.html -> 304 (54 ms)
2026-04-28 20:35:13 [http-nio-8080-exec-5] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/swagger-ui.css -> 304 (5 ms)
2026-04-28 20:35:13 [http-nio-8080-exec-2] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/index.css -> 304 (5 ms)
2026-04-28 20:35:13 [http-nio-8080-exec-8] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/swagger-ui-bundle.js -> 304 (4 ms)
2026-04-28 20:35:13 [http-nio-8080-exec-6] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/swagger-ui-standalone-preset.js -> 304 (6 ms)
2026-04-28 20:35:13 [http-nio-8080-exec-4] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/swagger-initializer.js -> 200 (72 ms)
2026-04-28 20:35:13 [http-nio-8080-exec-7] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /v3/api-docs/swagger-config -> 200 (43 ms)
2026-04-28 20:35:14 [http-nio-8080-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 1205 ms
2026-04-28 20:35:14 [http-nio-8080-exec-9] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /v3/api-docs -> 200 (1252 ms)
2026-04-28 20:35:17 [http-nio-8080-exec-10] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/index.html -> 304 (4 ms)
2026-04-28 20:35:17 [http-nio-8080-exec-3] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/swagger-initializer.js -> 200 (4 ms)
2026-04-28 20:35:17 [http-nio-8080-exec-1] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /v3/api-docs/swagger-config -> 200 (2 ms)
2026-04-28 20:35:17 [http-nio-8080-exec-5] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /swagger-ui/favicon-32x32.png -> 304 (3 ms)
2026-04-28 20:35:17 [http-nio-8080-exec-2] INFO  c.g.c.logging.RequestLoggingFilter - HTTP GET /v3/api-docs -> 200 (6 ms)
